item_name,Item_Revenue
"Aloo Paratha",232477.77
"Fish Curry",212755.37
"Hakka Noodles",205411.68
Momos,203851.14
"Paneer Tikka",185606.53
"Paneer Butter Masala",168535.39
"Gulab Jamun",135449.46
"Samosa Chaat",133409.96
"Masala Dosa",129444.27
"Dal Tadka",126507.73
"Fried Rice",125895.68
"Chicken 65",125284.06
"Idli Sambar",113387.60
"Veg Biryani",109546.46
"Chicken Biryani",105445.20
"Pav Bhaji",104984.73
Rasgulla,103828.15
"Kadai Paneer",97429.15
"Chole Bhature",91234.41
"Butter Chicken",90736.34
